logFreq,KC,geno,phenoBinary,phenoLength
0.0,64.529325013,F-FFFF-F,110111111101010111111101110111111101110111111101110111111101010111111101000000000000000000000000000000000000000000000000000000000000000000000000,144
0.301029995664,50.189475010100004,F-FFFFF,110111111111010111111111110111111111110111111111110111111111110111111111000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,53.302968908800004,F-FFFFFF,1101111111111101011111111111110111111111111101111111111111011111111111110111111111111101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,196
0.0,59.794705708,F-FFF[F],1101111111000101111111110001111111110001111111110001111111000000000000000000000000000000000000000000,100
0.0,60.0,F-FF[+F],1101111000010111101100011110001001111000000000000000000000000000,64
0.0,54.0,F-FF[-F],1101110100010111011100011101000101110100000000000000000000000000,64
0.0,59.794705708,F-FF[FF],1101111111000001011111111100000111111111000001111111110000011111110000000000000000000000000000000000,100
0.301029995664,54.0,F-FF[F],1101111100010111111100011111110001111100000000000000000000000000,64
0.0,60.0,F-F[+FF],1101101100000101101100001001101111000001101100000000000000000000,64
0.698970004336,41.3594000115,F-F[+F],110110000101100010011000000000000000,36
0.0,54.0,F-F[-FF],1101011100000101011100000101011111000001011100000000000000000000,64
0.0,60.0,F-F[F+F],1101111000000101111011000001111000001001111000000000000000000000,64
0.0,54.0,F-F[F-F],1101110100000101110111000001110100000101110100000000000000000000,64
0.0,59.794705708,F-F[FFF],1101111111000000010111111111000000011111111100000001111111110000000111111100000000000000000000000000,100
0.301029995664,54.0,F-F[FF],1101111100000101111111000001111111000001111100000000000000000000,64
1.1461280356799999,46.529325013000005,F-F[F],110111000101111100011100000000000000,36
0.0,66.0,F-F[F]+F,1101110010010111001011011100100000001001110010000000000000000000,64
0.0,60.0,F-F[F]-F,1101110001010111000111011100010000000101110001000000000000000000,64
0.0,48.0,F-[F+FF],1101101100000001011011110000000110110000000101101100000000000000,64
0.47712125471999994,41.3594000115,F-[F+F],110110000001011011000001100000000000,36
0.0,42.0,F-[F-FF],1101011100000001010111000000010101110000000101011100000000000000,64
1.0,31.019550008699998,F-[F-F],110101000001010100000101010000000000,36
0.0,54.0,F-[FF+F],1101111000000001011110000000010111101100000001111000000000000000,64
0.0,42.0,F-[FF-F],1101110100000001011101000000010111010000000101110100000000000000,64
0.0,46.5069933284,F-[FFFF],1101111111000000000101111111000000000101111111000000000101111111000000000101111111000000000000000000,100
0.698970004336,42.0,F-[FFF],1101111100000001011111000000010111110000000101111100000000000000,64
1.4149733479700002,36.189475010100004,F-[FF],110111000001011100000101110000000000,36
0.301029995664,60.0,F-[FF]+F,1101111100000101111111000001111111000000000000011111000000000000,64
0.0,60.0,F-[FF]-F,1101110000010101110000011101110000010000000001011100000100000000,64
2.10720996965,24.0,F-[F],1101000101000000,16
0.7781512503839999,51.69925001439999,F-[F]+F,110111000101111100000001110000000000,36
0.8450980400139999,41.3594000115,F-[F]-F,110100010101000100000101000100000000,36
0.301029995664,60.0,F-[F]-FF,1101000111010100011100000001010001111101000111000000000000000000,64
2.42975228,12.0,FF,1111111100000000,16
1.86332286012,25.849625007199997,FF+F,111110111110101110000000000000000000,36
1.20411998266,36.0,FF+F+F,1111101011111010101110101011101000000000000000000000000000000000,64
0.0,39.8631371386,FF+F+F+F,1111101010111110101010111010101011101010101110101000000000000000000000000000000000000000000000000000,100
0.0,53.1508495182,FF+F+F-F,1111101001111110100110111010011011101001011110100100000000000000000000000000000000000000000000000000,100
0.47712125471999994,46.5069933284,FF+F+FF,1111101011111110101110111010111011101011111110101100000000000000000000000000000000000000000000000000,100
0.0,57.35940001149999,FF+F+FFF,111110101111111110101111101110101111101110101111111110101111111110101111000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,36.0,FF+F+[F],1111101000101110100010111010001011101000000000000000000000000000,64
1.20411998266,42.0,FF+F-F,1111100111111001101110010111100100000000000000000000000000000000,64
0.0,53.1508495182,FF+F-F+F,1111100110111110011010111001100111100110101110011000000000000000000000000000000000000000000000000000,100
0.0,59.794705708,FF+F-F-F,1111100101111110010110111001010111100101011110010100000000000000000000000000000000000000000000000000,100
0.47712125471999994,53.1508495182,FF+F-FF,1111100111111110011110111001110111100111111110011100000000000000000000000000000000000000000000000000,100
0.0,64.529325013,FF+F-FFF,111110011111111110011111101110011111011110011111111110011111111110011111000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,48.0,FF+F-[F],1111100100011110011111001001000111100100000000000000000000000000,64
1.4149733479700002,36.0,FF+FF,1111101111111011101110111111101100000000000000000000000000000000,64
0.47712125471999994,39.8631371386,FF+FF+F,1111101110111110111010111011101111101110101110111000000000000000000000000000000000000000000000000000,100
0.0,43.0195500087,FF+FF+FF,111110111011111110111011101110111011111110111011101110111011111110111011000000000000000000000000000000000000000000000000000000000000000000000000,144
0.47712125471999994,46.5069933284,FF+FF-F,1111101101111110110110111011011111101101011110110100000000000000000000000000000000000000000000000000,100
0.0,50.189475010100004,FF+FF-FF,111110110111111110110111101110110111111110110111011110110111111110110111000000000000000000000000000000000000000000000000000000000000000000000000,144
1.1461280356799999,46.5069933284,FF+FFF,1111101111111110111110111011111111101111111110111100000000000000000000000000000000000000000000000000,100
0.0,43.0195500087,FF+FFF+F,111110111110111110111110101110111110111110111110111110111110101110111110000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,57.35940001149999,FF+FFF-F,111110111101111110111101101110111101111110111101111110111101011110111101000000000000000000000000000000000000000000000000000000000000000000000000,144
0.301029995664,50.189475010100004,FF+FFFF,111110111111111110111111101110111111111110111111111110111111111110111111000000000000000000000000000000000000000000000000000000000000000000000000,144
0.0,60.9176787529,FF+FFFFF,1111101111111111111011111111101110111111111111101111111111111011111111111110111111111111101111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,196
0.0,59.794705708,FF+FF[F],1111101111111100101111001011101111111100101111111100101111000000000000000000000000000000000000000000,100
0.0,48.0,FF+F[+F],1111101011110010100010111010001011101000000000000000000000000000,64
0.0,48.0,FF+F[-F],1111100111110010010010111001000111100100000000000000000000000000,64
0.0,66.4385618977,FF+F[FF],1111101111111100001011110000101110111111110000101111111100001011110000000000000000000000000000000000,100
0.301029995664,48.0,FF+F[F],1111101111110010110010111011111100101100000000000000000000000000,64
